5/22/2009	C-152	N220U	CPS-CPS	0.5	1									0.5	
5/24/2009	PA-28	N780U	BMG-UNI	2.5	1							2.5		2.5	2.5
5/30/2009	PA-28	N780U	UNI-PKB-UNI	1.9	1			1.5	2					1.9	1.9
6/6/2009	PA-28	N750U	UNI-PKB-UNI	1.4	1			1.3	2					1.4	
6/6/2009	C-150	N3297J	UNI-HAO-UNI	3.4	1	1				1.5		3.4		3.4	
6/6/2009	7-GCAA	N393MA	HAO-HAO	1.1	6									1.1	1.1
6/22/2009	C-150	N3297J	UNI-UNI	0.6	2									0.6	
6/23/2009	PA-28	N750U	UNI-GAS-UNI	2.1	1			1.8						2.1	2.1
6/24/2009	C-150	N3297J	UNI-DAY-UNI	3	2							3	3	3	
6/30/2009	PA-28	N730U	UNI-GAS-UNI	1.3	1			1.2	2					1.3	
7/9/2009	PA-28	N750u	UNI-GAS-UNI	1.5	2			1.3	3					1.5	
7/9/2009	PA-28	N750u	UNI-UNI	1.1	1									1.1	1.1
7/10/2009	PA-28	N730U	UNI-UNI	2	7			1	2					2	2
7/10/2009	PA-28	N730U	UNI-UNI	1	5								1	1	
7/10/2009	FTD	Frasca 142	UNI						2		1				
7/11/2009	PA-28	N720U	UNI-CDI-UNI	2	2							2		2	2
7/12/2009	FTD	Frasca 142	UNI								1				
7/13/2009	PA-28	N720U	UNI-3G4-UNI	2.9	4			2	1			2.9		2.9	2.9
8/26/2009	PA-28	N720U	UNI-UNI	1	2									1	1
9/2/2009	AA5A	N26988	3OH0-I73-3OH0	0.8	2									0.8	
9/4/2009	AA5A	N26988	3OH0-GRR-3OH0	3.5	2							3.5		3.5	
9/12/2009	C-150	N3297J	UNI-UNI	1.6	8									1.6	
9/13/2009	C-150	N3297J	UNI-UNI	0.3	3									0.3
