Date	Tail Number	Route	Duration		
6/6/2007	N315UA	KORD-KLGA	1.5		
6/7/2007	N454SW	KLGA-KIAD	1.5		
6/9/2007	N643UA	KIAD-EGLL	1.5		
6/10/2007	N119UA	EGLL-KSFO	1.5		
6/10/2007	N444ZW	KSFO-KRNO	1.5		
6/10/2007	N444ZW	KRNO-KLAX	1.5		
6/12/2007	N177UA	KLAX-YSSY	1.5		
6/14/2007	C/S	YSSY-YMML	1.5		
6/14/2007	C/S	YMML-YSSY	1.5		
6/15/2007	N180UA	YSSY-KSFO	1.5		
6/17/2007	N832UA	KSFO-KSEA	1.5		
6/17/2007	N832UA	KSEA-KORD	1.5		
6/22/2007	N676UA	KORD-KLAX	1.5		
6/24/2007	C/S	KLAX-EDDF	1.5		
