Date	Registration	Type	Route	Total	PIC	Solo	SIC	Night	Dual Received	Dual Given	Cross Country	Actual Instrument	Simulated Instrument	Night Landings	Day Landings	Sim	Approaches	Person	Remarks	Flying
2010-01-02	PC12	PC-12	MMUN KEYW	1.5	1.5			1.5			1.5	1.5		1			1		http://www.vataware.com/flight.cfm?id=4818651	
2010-01-03	PC12	PC-12	KEYW MYSM	1.9	1.9						1.9	1.9			1		1		http://www.vataware.com/flight.cfm?id=4826189	
2010-01-04	PC12	PC-12	MYSM MUGM	2.1	2.1						2.1	2.1			1		1		http://www.vataware.com/flight.cfm?id=4830224	
2010-01-04	PC12	PC-12	MUGM MKJP	1.0	1.0						1.0	1.0			1		1		http://www.vataware.com/flight.cfm?id=4831006	
2010-01-05	PC12	PC-12	MKJP TFFJ	3.4	3.4						3.4	3.4			1		1		http://www.vataware.com/flight.cfm?id=4836704	
2010-01-07	PC12	PC-12	TFFJ TVSM	1.7	1.7						1.7	1.7			1		1		http://www.vataware.com/flight.cfm?id=4847854	
2010-01-07	PC12	PC-12	TVSM SMJP	3.0	3.0						3.0	3.0			1		1		http://www.vataware.com/flight.cfm?id=4848450	
2010-01-08	PC12	PC-12	SMJP SBNT	6.3	6.3						6.3	6.3			1		1		http://www.vataware.com/flight.cfm?id=4853979	
2010-01-09	PC12	PC-12	SBNT GVSV	6.2	6.2						6.2	6.2			1		1		http://www.vataware.com/flight.cfm?id=4861951	
2010-01-10	PC12	PC-12	GVSV LPMA	5.3	5.3						5.3	5.3			1		1		http://www.vataware.com/flight.cfm?id=4867311	
2010-01-11	PC12	PC-12	LPMA LEIB	4.5	4.5						4.5	4.5			1		1		http://www.vataware.com/flight.cfm?id=4875168	
2010-01-13	PC12	PC-12	LEIB LIRN	2.7	2.7						2.7	2.7			1		1		http://www.vataware.com/flight.cfm?id=4885167	
2010-01-14	PC12	PC-12	LIRN LIPZ	2.3	2.3						2.3	2.3			1		1		http://www.vataware.com/flight.cfm?id=4890326	
2010-01-15	PC12	PC-12	LIPZ LFMN	2.9	2.9						2.9	2.9			1		1		http://www.vataware.com/flight.cfm?id=4896315	
2010-01-15	PC12	PC-12	LFMN LFLJ	1.1	1.1						1.1	1.1			1		1		http://www.vataware.com/flight.cfm?id=4897254	
2010-01-16	PC12	PC-12	LFLJ LSGS	0.8	0.8						0.8	0.8			1		1		http://www.vataware.com/flight.cfm?id=4901969	
2010-01-16	PC12	PC-12	LSGS ELLX	1.7	1.7						1.7	1.7			1		1		http://www.vataware.com/flight.cfm?id=4902402	
2010-01-16	PC12	PC-12	ELLX EGLC	2.2	2.2						2.2	2.2			1		1		http://www.vataware.com/flight.cfm?id=4903298	
2010-01-17	PC12	PC-12	EGLC EHMZ	0.8	0.8						0.8	0.8			1		1		http://www.vataware.com/flight.cfm?id=4907742	
2010-01-17	PC12	PC-12	EHMZ EHLE	0.5	0.5						0.5	0.5			1		1		http://www.vataware.com/flight.cfm?id=4908638	
2010-01-17	PC12	PC-12	EHLE EHTW	0.4	0.4						0.4	0.4			1		1		http://www.vataware.com/flight.cfm?id=4909017	
2010-01-18	PC12	PC-12	EHTW EDDW	0.8	0.8			0.1			0.8	0.8			1		1		http://www.vataware.com/flight.cfm?id=4914059	
2010-01-18	PC12	PC-12	EDDW EKYT	1.8	1.8						1.8	1.8			1		1		http://www.vataware.com/flight.cfm?id=4914535	
