Date	AC Type	Plane	Route of Flight	Approaches	day landing	night landing	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
3/24/05	PA-28	N75078	PHF - JGG - PHF		2		0.7									0.7	0.7	0.7		
3/26/05	PA-28	N75078	PHF - HBI	1	1		1.8				0.4			1.8		1.8		1.8		
3/26/05	PA-28	N75078	HBI - PHF		1		1.7				0.3			1.7		1.7		1.7		
4/1/05	PA-28	N75078	PHF-INT-W96-PHF		3		4.3							4.3		4.3	2.4	4.3		
4/10/05	PA-28	N75078	PHF - SFQ - PHF		2		0.9									0.9	0.9	0.9		
4/28/05	PA-28	N75078	PHF - FCI - PHF		2		1.4							1.4		1.4	1.4	1.4		
5/7/05	PA-28	N75078	PHF - W75 - PHF		2		0.9									0.9		0.9		
5/8/05	PA-28	N75078	PHF - JGG - PHF		2		0.6									0.6		0.6		
5/15/05	PA-28	N75078	PHF - SFQ - PHF	1	1		0.9					0.2				0.9		0.9		
5/21/05	PA-28	N75078	PHF - SFQ - PHF		2		0.9									0.9		0.9		
5/28/05	PA-28	N75078	PHF - PHF		3		0.3									0.3	0.3	0.3		
6/9/05	PA-28	N75078	PHF - PHF		1		0.8									0.8	0.8	0.8		
6/29/05	PA-28	N75078	PHF - SFQ - PHF		2		0.9									0.9	0.9	0.9		
7/1/05	PA-28	N75078	PHF - 76N		1		2.7				0.1			2.7		2.7		2.7		
7/3/05	PA-28	N75078	76N - 76N		1		0.8									0.8		0.8		
7/3/05	PA-28	N75078	76N - PHF		1		2.6							2.6		2.6		2.6		
7/16/05	PA-28	N75078	PHF - 2W5		1		1.1							1.1		1.1	1.1	1.1		
7/27/05	PA-28	N75078	2W5 - W32		1		0.2									0.2	0.2	0.2		
8/7/05	PA-28	N75078	W32 - CGS - FDK - W32	1	3		2.2					0.1				2.2		2.2		
8/8/05	PA-28	N75078	W32 - FDK - ORF - W32		3		4.5				0.2			4.5		4.5	2.3	4.5		
8/20/05	PA-28	N75078	W32 - I40 - PWK		2		7.6				0.2			7.6		7.6		7.6		
8/23/05	PA-28	N75078	PWK - I40 - W32		2		5.7				0.2			5.7		5.7		5.7		
8/27/05	PA-28	N75078	W32 - FDK		1		0.7									0.7	0.7	0.7		
9/14/05	PA-28	N75078	FDK - W32		1		0.8									0.8	0.8	0.8		
9/18/05	PA-28	N75078	W32 - 3W3	5	1		1.8					0.6				1.8		1.8		
10/2/05	PA-28	N75078	W32 - W32		1		2.2									2.2		2.2		
10/20/05	PA-28	N75078	W32-AGC-DMW-W32		3		4.3				0.4			4.3		4.3	2.9	4.3		
10/24/05	PA-28	N75078	W32 - PHF		1		1.1							1.1		1.1	1.1	1.1		
10/24/05	PA-28	N75078	PHF - W32	1		1	1.2			1.2	1.0			1.2		1.2	1.2	1.2		
11/6/05	PA-28	N75078	W32-2W5-W32		4		0.7									0.7	0.7	0.7		
11/20/05	PA-28	N75078	W32 - GED		1		0.9							0.9		0.9		0.9		
11/23/05	PA-28	N75078	W32 - PHF		1		1.1							1.1		1.1	1.1	1.1		
11/23/05	PA-28	N75078	PHF - W32		1		1.3							1.3		1.3		1.3		
11/25/05	PA-28	N75078	W32 - PHF		1		1.2							1.2		1.2		1.2		
11/25/05	PA-28	N75078	PHF - W32		1		1.0							1.0		1.0	1.0	1.0		
12/18/05	PA-28	N75078	W32 - 2W6 - W32		7		1.3									1.3	1.3	1.3		
12/27/05	PA-28	N75078	W32 - FDK - W32		2		1.8									1.8	1.8	1.8		
1/13/06	PA-28	N75078	W32-PHL-ORF-SFQ-W32	1	4		5.7				0.2			5.7		5.7	3.1	5.7		
